gregorain_date,gregorian_year,gregorian_month,gregorian_day,is_holiday,event_origin,event_name
1991-06-28 00:00:00,,,,0,۱۵ ذوالحجه,ولادت امام علی النقی الهادی علیه السلام
1991-07-01 00:00:00,,,,0,۱۰ تیر,روز صنعت و معدن
1991-07-01 00:00:00,,,,1,۱۸ ذوالحجه,عید سعید غدیر خم
1991-07-05 00:00:00,,,,0,۱۴ تیر,روز قلم
1991-07-04 00:00:00,,,,0,۱۳ تیر,تیر روز،جشن تیرگان
1991-07-03 00:00:00,,,,0,۲۰ ذوالحجه,ولادت امام موسی کاظم علیه السلام
1991-07-06 00:00:00,,,,0,۱۵ تیر,جشن خام خواری
1991-07-18 00:00:00,,,,0,۲۷ تیر,اعلام پذیرش قطعنامه 598 شورای امنیت از سوی ایران
1991-07-16 00:00:00,,,,0,۲۵ تیر,روز بهزیستی و تامین اجتماعی
1991-07-21 00:00:00,,,,1,۹ محرم,تاسوعای حسینی
1991-07-22 00:00:00,,,,1,۱۰ محرم,عاشورای حسینی
1991-07-24 00:00:00,,,,0,۱۲ محرم,شهادت  امام زین العابدین علیه السلام
1991-07-28 00:00:00,,,,0,۶ مرداد,روز ترویج آموزش های فنی و حرفه ای
1991-07-30 00:00:00,,,,0,۸ مرداد,روز بزرگداشت شیخ شهاب الدین سهروردی
1991-08-01 00:00:00,,,,0,۱۰ مرداد,جشن چله تابستان
1991-08-08 00:00:00,,,,0,۱۷ مرداد,روز خبرنگار
1991-08-05 00:00:00,,,,0,۱۴ مرداد,صدور فرمان مشروطیت
1991-07-29 00:00:00,,,,0,۷ مرداد,مرداد روز،جشن مردادگان
1991-08-13 00:00:00,,,,0,۱۳ اوت,روز جهانی چپ دست ها
1991-08-17 00:00:00,,,,0,۲۶ مرداد,سالروز ورود آزادگانِ سرافراز به وطن
1991-08-19 00:00:00,,,,0,۲۸ مرداد,سالروز کودتای 28 مرداد علیه دولت دکتر محمد مصدق
1991-08-19 00:00:00,,,,0,۲۸ مرداد,سالروز فاجعه آتش زدن سینما رکس آبادان
1991-08-23 00:00:00,,,,0,۱ شهریور,روز بزرگداشت ابوعلی سینا و روز پزشک
1991-08-24 00:00:00,,,,0,۲ شهریور,آغاز هفته دولت
1991-08-27 00:00:00,,,,0,۵ شهریور,روز بزرگداشت محمدبن زکریای رازی و روز داروساز
1991-08-26 00:00:00,,,,0,۴ شهریور,زادروز داراب (کوروش)
1991-08-26 00:00:00,,,,0,۴ شهریور,شهریور روز،جشن شهریورگان
1991-08-26 00:00:00,,,,0,۴ شهریور,روز کارمند
1991-08-30 00:00:00,,,,0,۸ شهریور,روز مبارزه با تروریسم
1991-08-30 00:00:00,,,,0,۳۰ اوت,تولد ارنست رادفورد، فیزیکدان انگلیسی و پدر انرژی هسته ای
1991-09-01 00:00:00,,,,0,۱۰ شهریور,امضای معاهده تقسیم ایران بین روسیه و انگلیس
1991-08-31 00:00:00,,,,1,۲۰ صفر,اربعین حسینی
1991-09-02 00:00:00,,,,0,۱۱ شهریور,روزصنعت چاپ
1991-09-02 00:00:00,,,,0,۱۱ شهریور,وقوع زلزله بویین زهرا و مرگ بیش از 25 هزار نفر
1991-09-02 00:00:00,,,,0,۲ سپتامبر,وقوع آتش سوزی بزرگ لندن
1991-09-04 00:00:00,,,,0,۱۳ شهریور,روز بزرگداشت ابوریحان بیرونی
1991-09-04 00:00:00,,,,0,۱۳ شهریور,روزتعاون
1991-09-11 00:00:00,,,,0,۱ ربيع الاول,هجرت پیامبر اکرم از مکه به مدینه
1991-09-11 00:00:00,,,,0,۱۱ سپتامبر,حمله به برج‌های دوقلوی مرکز تجارت جهانی
1991-09-08 00:00:00,,,,0,۱۷ شهریور,قیام 17 شهریور
1991-09-08 00:00:00,,,,1,۲۸ صفر,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام
1991-09-13 00:00:00,,,,0,۱۳ سپتامبر,روز گرامیداشت برنامه نویسان
1991-09-12 00:00:00,,,,0,۲۱ شهریور,روز سینما
1991-09-10 00:00:00,,,,0,۱۹ شهریور,وفات آیت الله سید محمود طالقانی اولین امام جمعه تهران
1991-09-10 00:00:00,,,,0,۱۰ سپتامبر,روز جهانی پیشگیری از خودکشی
1991-09-10 00:00:00,,,,1,۳۰ صفر,شهادت امام رضا علیه السلام
1991-09-18 00:00:00,,,,0,۲۷ شهریور,روز شعر و ادب پارسی و  روز بزرگداشت استاد شهریار
1991-09-18 00:00:00,,,,1,۸ ربيع الاول,شهادت امام حسن عسکری علیه السلام
1991-09-21 00:00:00,,,,0,۳۰ شهریور,روز گفتگوی تمدنها
1991-09-21 00:00:00,,,,0,۲۱ سپتامبر,روز جهانی صلح
1991-09-22 00:00:00,,,,0,۳۱ شهریور,آغاز هفته دفاع مقدس
1991-09-22 00:00:00,,,,0,۱۲ ربيع الاول,میلاد رسول اکرم به روایت اهل سنت
1991-09-26 00:00:00,,,,0,۲۶ سپتامبر,ارائه نظریه نسبیت خاص توسط آلبرت انیشتین
1991-09-27 00:00:00,,,,0,۲۷ سپتامبر,روز جهانی جهانگردی
1991-09-27 00:00:00,,,,1,۱۷ ربيع الاول,میلاد رسول اکرم و امام جعفر صادق علیه السلام
1991-10-01 00:00:00,,,,0,۱ اکتبر,روز جهانی سالمندان
1991-10-05 00:00:00,,,,0,۱۳ مهر,روز نیروی انتظامی
1991-10-05 00:00:00,,,,0,۵ اکتبر,روز جهانی معلم
1991-10-03 00:00:00,,,,0,۱۱ مهر,آغاز به کار نخستین فرستنده تلویزیون ایران
1991-09-29 00:00:00,,,,0,۷ مهر,روز آتش نشانی و ایمنی
1991-09-30 00:00:00,,,,0,۸ مهر,روزبزرگداشت مولوی
1991-09-30 00:00:00,,,,0,۳۰ سپتامبر,روز جهانی ناشنوایان
1991-09-29 00:00:00,,,,0,۷ مهر,سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال 1360
1991-09-30 00:00:00,,,,0,۳۰ سپتامبر,روز جهانی ترجمه و مترجم
1991-10-06 00:00:00,,,,0,۱۴ مهر,روز دامپزشکی
1991-10-09 00:00:00,,,,0,۹ اکتبر,روز جهانی پست
1991-10-08 00:00:00,,,,0,۱۶ مهر,مهر روز،جشن مهرگان
1991-10-08 00:00:00,,,,0,۸ اکتبر,روز جهانی کودک
